K,Inertia,Silhouette
2,1925.8158156667419,0.39031715818654084
3,1191.8699209930423,0.41939549557542977
4,646.5877641963906,0.5123283262029518
5,566.7391643533073,0.48026477100502984
6,488.49098374299297,0.5119538748595722
7,408.33146682022317,0.49596395307860097
8,328.04093745568184,0.5309083953180921
9,287.8212242113857,0.565024016563382
10,247.95415488946938,0.5910878128440072
11,208.9566965817575,0.6223489220287888
12,168.09569700658838,0.6610324161539239
13,128.3793631237862,0.7133371299157346
14,88.63872305542944,0.7664771333673529
15,49.19120477836426,0.8229989513145917
16,10.219774129141323,0.8801293202686638
17,9.978989909076173,0.8450001474073968
18,9.740557433298461,0.8120999047582156
19,9.522465307281836,0.7769313940763314
20,9.28900195600512,0.7410393769800154
